frequency_GHz,gain_dB,frequency_GHz,gain_dB,frequency_GHz,gain_dB
1.92,2.248363472,10.2,18.13696314,1.092,0.429107245
1.93,2.360904212,10.3,18.17173145,1.093,0.428491409
1.94,2.474030207,10.4,18.46206167,1.094,0.427865357
1.95,2.588148395,10.5,18.42250928,1.095,0.42722938
1.96,2.703827844,10.6,18.59630238,1.096,0.426583686
1.97,2.82171164,10.7,18.64418226,1.097,0.425928403
1.98,2.942127095,10.8,18.81788674,1.098,0.42526358
1.99,3.065162729,10.9,18.8697655,1.099,0.424589211
2,3.190982214,11,18.85438323,1.1,0.423905274
2.01,3.319335352,11.1,19.17676091,1.101,0.423211804
2.02,3.449779049,11.2,18.96663237,1.102,0.422508991
2.03,3.582588871,11.3,19.28928268,1.103,0.42179727
2.04,3.717489112,11.4,19.12170897,1.104,0.421077329
2.05,3.853240623,11.5,19.340276,1.105,0.420349992
2.06,3.988519724,11.6,19.32923446,1.106,0.419615996
2.07,4.122478587,11.7,19.26552547,1.107,0.41887577
2.08,4.254491206,11.8,19.56848599,1.108,0.418129342
2.09,4.383769229,11.9,19.14664364,1.109,0.417376395
2.1,4.509709682,12,19.64815343,1.11,0.416616399
2.11,4.632419218,12.1,19.21541466,1.111,0.415848739
2.12,4.752406303,12.2,19.42472519,1.112,0.415072792
2.13,4.87071684,12.3,19.36756125,1.113,0.414287967
2.14,4.987989892,12.4,19.06076839,1.114,0.413493712
2.15,5.104554138,12.5,19.47358871,1.115,0.412689515
2.16,5.221263823,12.6,18.81263796,1.116,0.411874909
2.17,5.33903286,12.7,19.2863158,1.117,0.411049488
2.18,5.458485288,12.8,18.65971114,1.118,0.410212925
2.19,5.580309651,12.9,18.78477207,1.119,0.409365007
2.2,5.705510052,13,18.53862315,1.12,0.408505666
2.21,5.834290321,13.1,18.16480412,1.121,0.40763502
2.22,5.966300782,13.2,18.57832467,1.122,0.406753405
2.23,6.101019339,13.3,17.57429906,1.123,0.405861388
2.24,6.237817748,13.4,17.78212904,1.124,0.40495978
2.25,6.375394204,13.5,16.95177853,1.125,0.40404961
2.26,6.512093963,13.6,17.02808217,1.126,0.403132072
2.27,6.646705071,13.7,16.34355862,1.127,0.40220842
2.28,6.777574895,13.8,15.94026369,1.128,0.401279805
2.29,6.903910467,13.9,15.49274007,1.129,0.400347071
2.3,7.026565961,14,14.88314117,1.13,0.399410568
2.31,7.144968341,14.1,14.38744005,1.131,0.398470112
2.32,7.258141231,14.2,13.57732381,1.132,0.397525138
2.33,7.36675516,14.3,13.04145911,1.133,0.396574992
2.34,7.47231568,14.4,12.04203586,1.134,0.39561919
2.35,7.57630835,14.5,11.40732526,1.135,0.394657524
2.36,7.680033047,14.6,10.26976861,1.136,0.393690013
2.37,7.78508376,14.7,9.415955538,1.137,0.392716802
2.38,7.892869707,14.8,8.196108606,1.138,0.391738064
2.39,8.004334681,14.9,7.102571693,1.139,0.390753936
2.4,8.120065562,15,5.773708392,1.14,0.389764501
2.41,8.240078154,15.1,4.62113426,1.141,0.388769786
2.42,8.363598051,15.2,3.162464605,1.142,0.387769771
2.43,8.489307158,15.3,2.116500193,1.143,0.386764401
2.44,8.615867404,15.4,1.082073324,1.144,0.385753594
2.45,8.741806144,15.5,0.415448632,1.145,0.384737251
2.46,8.865196277,15.6,-0.092219155,1.146,0.383715256
2.47,8.98550605,15.7,0.080419759,1.147,0.38268748
2.48,9.10292964,15.8,0.054813598,1.148,0.38165377
2.49,9.21556764,15.9,0.216542894,1.149,0.380613947
2.5,9.321948117,16,0.269617547,1.15,0.379567791
2.51,9.421996103,,,1.151,0.378515036
2.52,9.515947353,,,1.152,0.377455367
2.53,9.604486705,,,1.153,0.376388451
2.54,9.688763773,,,1.154,0.375313997
2.55,9.770202711,,,1.155,0.374231864
2.56,9.850640077,,,1.156,0.373142161
2.57,9.932387999,,,1.157,0.372045286
2.58,10.01773324,,,1.158,0.370941846
2.59,10.1078604,,,1.159,0.369832486
2.6,10.20270874,,,1.16,0.368717734
2.61,10.30269812,,,1.161,0.367597931
2.62,10.40815198,,,1.162,0.366473252
2.63,10.51845496,,,1.163,0.365343762
2.64,10.63228216,,,1.164,0.364209482
2.65,10.748437,,,1.165,0.363070413
2.66,10.86624798,,,1.166,0.361926551
2.67,10.98382572,,,1.167,0.360777882
2.68,11.09828898,,,1.168,0.359624363
2.69,11.20746868,,,1.169,0.358465917
2.7,11.30990445,,,1.17,0.357302416
2.71,11.40421732,,,1.171,0.356133688
2.72,11.48939163,,,1.172,0.354959519
2.73,11.56566311,,,1.173,0.353779677
2.74,11.63415606,,,1.174,0.352593937
2.75,11.69727737,,,1.175,0.35140212
2.76,11.75895804,,,1.176,0.350204139
2.77,11.82230138,,,1.177,0.349000038
2.78,11.88720212,,,1.178,0.347790021
2.79,11.95400908,,,1.179,0.346574429
2.8,12.02461081,,,1.18,0.345353645
2.81,12.10067918,,,1.181,0.344127904
2.82,12.18264214,,,1.182,0.342897097
2.83,12.27084558,,,1.183,0.341660676
2.84,12.36637246,,,1.184,0.340417769
2.85,12.46839758,,,1.185,0.339167443
2.86,12.57484234,,,1.186,0.33790896
2.87,12.68316244,,,1.187,0.336641885
2.88,12.79050119,,,1.188,0.335366074
2.89,12.89408722,,,1.189,0.334081575
2.9,12.99159258,,,1.19,0.332788546
2.91,13.08118419,,,1.191,0.331487187
2.92,13.16149336,,,1.192,0.330177701
2.93,13.23190057,,,1.193,0.328860281
2.94,13.29330973,,,1.194,0.327535102
2.95,13.34849006,,,1.195,0.326202326
2.96,13.39901736,,,1.196,0.324862102
2.97,13.44513242,,,1.197,0.323514575
2.98,13.48843917,,,1.198,0.322159882
2.99,13.53168768,,,1.199,0.320798154
3,13.57781775,,,1.2,0.319429503
3.01,13.62855792,,,1.201,0.318054009
3.02,13.68541895,,,1.202,0.316671681
3.03,13.74937875,,,1.203,0.315282418
3.04,13.82151189,,,1.204,0.313885956
3.05,13.90169319,,,1.205,0.312481849
3.06,13.9891335,,,1.206,0.311069526
3.07,14.0823098,,,1.207,0.309648444
3.08,14.17841975,,,1.208,0.308218313
3.09,14.27440535,,,1.209,0.306779245
3.1,14.36752974,,,1.21,0.305331739
3.11,14.45523582,,,1.211,0.303876484
3.12,14.53492736,,,1.212,0.302414144
3.13,14.60489389,,,1.213,0.300945212
3.14,14.66559097,,,1.214,0.299469968
3.15,14.71850363,,,1.215,0.29798851
3.16,14.76337225,,,1.216,0.296500803
3.17,14.80012678,,,1.217,0.295006723
3.18,14.83033762,,,1.218,0.2935061
3.19,14.85693228,,,1.219,0.291998742
3.2,14.88256649,,,1.22,0.290484453
3.21,14.91006211,,,1.221,0.288963048
3.22,14.94152181,,,1.222,0.287434357
3.23,14.97959281,,,1.223,0.285898233
3.24,15.02594957,,,1.224,0.284354552
3.25,15.08210579,,,1.225,0.282803218
3.26,15.14839687,,,1.226,0.281244171
3.27,15.22411841,,,1.227,0.279677398
3.28,15.30622904,,,1.228,0.278102957
3.29,15.39172924,,,1.229,0.276521014
3.3,15.47819483,,,1.23,0.274931867
3.31,15.56277555,,,1.231,0.273335949
3.32,15.64195223,,,1.232,0.271733759
3.33,15.71245833,,,1.233,0.270125733
3.34,15.77292049,,,1.234,0.268512101
3.35,15.82323828,,,1.235,0.266892832
3.36,15.86259933,,,1.236,0.265267702
3.37,15.89038919,,,1.237,0.263636417
3.38,15.90754264,,,1.238,0.261998721
3.39,15.91645288,,,1.239,0.260354452
3.4,15.9198875,,,1.24,0.258703537
3.41,15.92130926,,,1.241,0.257045977
3.42,15.92425855,,,1.242,0.25538182
3.43,15.93280197,,,1.243,0.25371114
3.44,15.9501207,,,1.244,0.25203403
3.45,15.97913419,,,1.245,0.250350589
3.46,16.02260403,,,1.246,0.248660923
3.47,16.08186574,,,1.247,0.246965143
3.48,16.15594265,,,1.248,0.245263367
3.49,16.24130492,,,1.249,0.243555723
3.5,16.33524747,,,1.25,0.241842349
3.51,16.43531883,,,1.251,0.240123394
3.52,16.53780147,,,1.252,0.238399011
3.53,16.63851824,,,1.253,0.236669345
3.54,16.73341659,,,1.254,0.234934512
3.55,16.81909831,,,1.255,0.233194569
3.56,16.89198863,,,1.256,0.231449508
3.57,16.94874778,,,1.257,0.229699272
3.58,16.98754868,,,1.258,0.227943836
3.59,17.00833524,,,1.259,0.226183297
3.6,17.01236821,,,1.26,0.224417925
3.61,17.00137539,,,1.261,0.222648136
3.62,16.97877741,,,1.262,0.220874405
3.63,16.95028444,,,1.263,0.219097182
3.64,16.92153089,,,1.264,0.217316842
3.65,16.89754148,,,1.265,0.215533664
3.66,16.88286632,,,1.266,0.213747836
3.67,16.88143129,,,1.267,0.211959467
3.68,16.89651763,,,1.268,0.210168605
3.69,16.92895314,,,1.269,0.208375246
3.7,16.97743089,,,1.27,0.206579351
3.71,17.04049526,,,1.271,0.204780861
3.72,17.11652813,,,1.272,0.202979701
3.73,17.20311856,,,1.273,0.201175793
3.74,17.29709504,,,1.274,0.199369065
3.75,17.39543348,,,1.275,0.197559463
3.76,17.49432704,,,1.276,0.19574696
3.77,17.58839484,,,1.277,0.193931586
3.78,17.6721815,,,1.278,0.192113449
3.79,17.7416587,,,1.279,0.190292775
3.8,17.79427177,,,1.28,0.188469917
3.81,17.82841877,,,1.281,0.186645331
3.82,17.8417228,,,1.282,0.184819472
3.83,17.83245326,,,1.283,0.182992649
3.84,17.80457806,,,1.284,0.18116492
3.85,17.76608923,,,1.285,0.179336102
3.86,17.72424385,,,1.286,0.1775059
3.87,17.68453602,,,1.287,0.175674042
3.88,17.65152073,,,1.288,0.173840366
3.89,17.62892418,,,1.289,0.172004838
3.9,17.62018708,,,1.29,0.170167527
3.91,17.62642632,,,1.291,0.168328583
3.92,17.64813229,,,1.292,0.166488202
3.93,17.68377574,,,1.293,0.164646618
3.94,17.72952417,,,1.294,0.162804092
3.95,17.77802286,,,1.295,0.160960912
3.96,17.81483683,,,1.296,0.159117396
3.97,17.80393458,,,1.297,0.157273892
3.98,17.58695794,,,1.298,0.155430789
3.99,17.88445057,,,1.299,0.153588516
4,18.33965824,,,1.3,0.151747546
4.01,18.33887696,,,1.301,0.149908377
4.02,18.36321026,,,1.302,0.148071497
4.03,18.39463053,,,1.303,0.146237302
4.04,18.41336184,,,1.304,0.144405954
4.05,18.41135812,,,1.305,0.142577207
4.06,18.38938502,,,1.306,0.14075027
4.07,18.35267497,,,1.307,0.138923865
4.08,18.30822587,,,1.308,0.13709653
4.09,18.26303246,,,1.309,0.135267054
4.1,18.2223746,,,1.31,0.133434757
4.11,18.1891439,,,1.311,0.131599475
4.12,18.16648254,,,1.312,0.129761345
4.13,18.15976511,,,1.313,0.127920582
4.14,18.1738696,,,1.314,0.126077354
4.15,18.21074891,,,1.315,0.124231749
4.16,18.26881779,,,1.316,0.122383791
4.17,18.34273516,,,1.317,0.120533476
4.18,18.42529334,,,1.318,0.118680796
4.19,18.5126132,,,1.319,0.116825757
4.2,18.60434829,,,1.32,0.114968381
4.21,18.69769695,,,1.321,0.113108701
4.22,18.78662195,,,1.322,0.111246752
4.23,18.86443293,,,1.323,0.109382554
4.24,18.92488276,,,1.324,0.107516096
4.25,18.96359975,,,1.325,0.105647321
4.26,18.97859957,,,1.326,0.103776119
4.27,18.96995738,,,1.327,0.101902334
4.28,18.93958142,,,1.328,0.100025819
4.29,18.89141555,,,1.329,0.098146533
4.3,18.83131377,,,1.33,0.096264678
4.31,18.76662585,,,1.331,0.094380799
4.32,18.70508041,,,1.332,0.092495737
4.33,18.65279027,,,1.333,0.090610402
4.34,18.61246471,,,1.334,0.088725481
4.35,18.58540117,,,1.335,0.086841283
4.36,18.57437141,,,1.336,0.084957769
4.37,18.58247323,,,1.337,0.083074701
4.38,18.61133359,,,1.338,0.081191781
4.39,18.66024197,,,1.339,0.079308737
4.4,18.72598929,,,1.34,0.077425358
4.41,18.80366122,,,1.341,0.075541501
4.42,18.88942316,,,1.342,0.073657081
4.43,18.98030606,,,1.343,0.071772062
4.44,19.07216904,,,1.344,0.069886458
4.45,19.15877257,,,1.345,0.068000332
4.46,19.2336595,,,1.346,0.066113802
4.47,19.29111126,,,1.347,0.064227065
4.48,19.32687645,,,1.348,0.06234041
4.49,19.33854461,,,1.349,0.060454242
4.5,19.3257933,,,1.35,0.058569091
4.51,19.29063718,,,1.351,0.056685583
4.52,19.23733378,,,1.352,0.05480433
4.53,19.17180996,,,1.353,0.052925704
4.54,19.10111737,,,1.354,0.051049523
4.55,19.03289963,,,1.355,0.049174797
4.56,18.97398738,,,1.356,0.047299803
4.57,18.92836665,,,1.357,0.045422624
4.58,18.897324,,,1.358,0.04354186
4.59,18.88224195,,,1.359,0.041657052
4.6,18.8852348,,,1.36,0.0397686
4.61,18.90768315,,,1.361,0.037877393
4.62,18.94918226,,,1.362,0.035984432
4.63,19.00724792,,,1.363,0.034090614
4.64,19.07765247,,,1.364,0.032196649
4.65,19.15626243,,,1.365,0.03030306
4.66,19.24000136,,,1.366,0.028410219
4.67,19.32519532,,,1.367,0.026518383
4.68,19.40656169,,,1.368,0.02462772
4.69,19.47817941,,,1.369,0.022738331
4.7,19.53468117,,,1.37,0.020850258
4.71,19.57190844,,,1.371,0.01896348
4.72,19.58707955,,,1.372,0.017077895
4.73,19.5789269,,,1.373,0.015193298
4.74,19.54833199,,,1.374,0.013309347
4.75,19.49863627,,,1.375,0.011425535
4.76,19.43497737,,,1.376,0.00954122
4.77,19.36354328,,,1.377,0.007655731
4.78,19.29116868,,,1.378,0.005768638
4.79,19.22484818,,,1.379,0.003880092
4.8,19.17045421,,,1.38,0.00199105
4.81,19.1310385,,,1.381,0.000103126
4.82,19.10736457,,,1.382,-0.001781944
4.83,19.10030849,,,1.383,-0.003662843
4.84,19.11119726,,,1.384,-0.005538909
4.85,19.14052776,,,1.385,-0.00741003
4.86,19.18713972,,,1.386,-0.009276393
4.87,19.24807914,,,1.387,-0.01113827
4.88,19.31920085,,,1.388,-0.012995895
4.89,19.39654308,,,1.389,-0.014849406
4.9,19.47673774,,,1.39,-0.016698834
4.91,19.55554028,,,1.391,-0.018544109
4.92,19.62725424,,,1.392,-0.020385066
4.93,19.68588012,,,1.393,-0.022221448
4.94,19.72637787,,,1.394,-0.024052908
4.95,19.74534038,,,1.395,-0.025878992
4.96,19.74108372,,,1.396,-0.027699133
4.97,19.71358866,,,1.397,-0.029512634
4.98,19.66502726,,,1.398,-0.031318672
4.99,19.60015648,,,1.399,-0.033116345
5,19.52539883,,,1.4,-0.034904809
5.01,19.44760582,,,1.401,-0.036683547
5.02,19.37346721,,,1.402,-0.038452728
5.03,19.30927117,,,1.403,-0.040213463
5.04,19.26035324,,,1.404,-0.04196766
5.05,19.22984478,,,1.405,-0.043717378
5.06,19.21800276,,,1.406,-0.045464053
5.07,19.22381851,,,1.407,-0.047208118
5.08,19.24664209,,,1.408,-0.048949171
5.09,19.28567856,,,1.409,-0.050686386
5.1,19.33894696,,,1.41,-0.052418873
5.11,19.40292013,,,1.411,-0.05414586
5.12,19.47285516,,,1.412,-0.055866741
5.13,19.54380994,,,1.413,-0.057581047
5.14,19.61170918,,,1.414,-0.05928841
5.15,19.6729594,,,1.415,-0.060988523
5.16,19.72339999,,,1.416,-0.062681116
5.17,19.75875461,,,1.417,-0.064365949
5.18,19.77588067,,,1.418,-0.06604281
5.19,19.77343589,,,1.419,-0.067711541
5.2,19.75179678,,,1.42,-0.069372059
5.21,19.71253163,,,1.421,-0.071024415
5.22,19.65811644,,,1.422,-0.072668844
5.23,19.59249636,,,1.423,-0.074305814
5.24,19.52135034,,,1.424,-0.075935998
5.25,19.45096938,,,1.425,-0.077560102
5.26,19.38707324,,,1.426,-0.079178495
5.27,19.33449954,,,1.427,-0.080790757
5.28,19.29729085,,,1.428,-0.082395473
5.29,19.27850559,,,1.429,-0.083990567
5.3,19.27929261,,,1.43,-0.085573992
5.31,19.29795286,,,1.431,-0.087144296
5.32,19.33092059,,,1.432,-0.08870076
5.33,19.37482926,,,1.433,-0.090243208
5.34,19.42687577,,,1.434,-0.091771744
5.35,19.48397289,,,1.435,-0.093286548
5.36,19.54231263,,,1.436,-0.094787774
5.37,19.5976117,,,1.437,-0.096275508
5.38,19.64582778,,,1.438,-0.097749762
5.39,19.68398335,,,1.439,-0.099210489
5.4,19.71025931,,,1.44,-0.100657588
5.41,19.72328561,,,1.441,-0.102090913
5.42,19.72202748,,,1.442,-0.103510283
5.43,19.70642529,,,1.443,-0.104915469
5.44,19.67769635,,,1.444,-0.106306196
5.45,19.63801889,,,1.445,-0.107682128
5.46,19.5899693,,,1.446,-0.109042885
5.47,19.53625822,,,1.447,-0.11038808
5.48,19.48018316,,,1.448,-0.111717439
5.49,19.42604643,,,1.449,-0.113030988
5.5,19.37822052,,,1.45,-0.114329239
5.51,19.33974435,,,1.451,-0.115613191
5.52,19.31205878,,,1.452,-0.116884037
5.53,19.29566557,,,1.453,-0.118142722
5.54,19.29109149,,,1.454,-0.119389645
5.55,19.29997109,,,1.455,-0.12062467
5.56,19.32509316,,,1.456,-0.121847322
5.57,19.36714289,,,1.457,-0.123056986
5.58,19.42090747,,,1.458,-0.124253032
5.59,19.47779206,,,1.459,-0.125434864
5.6,19.53089751,,,1.46,-0.126601929
5.61,19.5762483,,,1.461,-0.127753715
5.62,19.61193258,,,1.462,-0.12888974
5.63,19.63752762,,,1.463,-0.130009552
5.64,19.65348626,,,1.464,-0.131112733
5.65,19.65962129,,,1.465,-0.132198899
5.66,19.65387611,,,1.466,-0.133267727
5.67,19.6338876,,,1.467,-0.13431898
5.68,19.59979848,,,1.468,-0.13535256
5.69,19.55474737,,,1.469,-0.136368589
5.7,19.5034392,,,1.47,-0.137367497
5.71,19.45063339,,,1.471,-0.138350074
5.72,19.39998779,,,1.472,-0.139317379
5.73,19.35332973,,,1.473,-0.140270403
5.74,19.31118675,,,1.474,-0.141209534
5.75,19.27496513,,,1.475,-0.142134171
5.76,19.2481978,,,1.476,-0.143042862
5.77,19.23471416,,,1.477,-0.1439339
5.78,19.23642883,,,1.478,-0.144805916
5.79,19.25306389,,,1.479,-0.145658121
5.8,19.28288386,,,1.48,-0.146490232
5.81,19.32327011,,,1.481,-0.147302286
5.82,19.37079091,,,1.482,-0.148094466
5.83,19.42089264,,,1.483,-0.148867002
5.84,19.46796773,,,1.484,-0.149620115
5.85,19.50654305,,,1.485,-0.150354
5.86,19.53266499,,,1.486,-0.151068822
5.87,19.54423436,,,1.487,-0.151764716
5.88,19.54073679,,,1.488,-0.152441795
5.89,19.52312278,,,1.489,-0.153100144
5.9,19.49381874,,,1.49,-0.153739821
5.91,19.45642325,,,1.491,-0.154360838
5.92,19.4146577,,,1.492,-0.154963138
5.93,19.37104945,,,1.493,-0.155546549
5.94,19.32697874,,,1.494,-0.156110746
5.95,19.28412339,,,1.495,-0.156655239
5.96,19.24509461,,,1.496,-0.157179446
5.97,19.21267736,,,1.497,-0.157682879
5.98,19.18883929,,,1.498,-0.158165348
5.99,19.17416304,,,1.499,-0.158627015
6,19.16784975,,,1.5,-0.159068258
6.01,19.1685536,,,1.501,-0.159489451
6.02,19.17578486,,,1.502,-0.159890828
6.03,19.19021006,,,1.503,-0.160272459
6.04,19.21205633,,,1.504,-0.160634303
6.05,19.23977927,,,1.505,-0.160976253
6.06,19.27044134,,,1.506,-0.161298181
6.07,19.30077823,,,1.507,-0.161599958
6.08,19.32810365,,,1.508,-0.161881453
6.09,19.349984,,,1.509,-0.162142534
6.1,19.36415993,,,1.51,-0.162383059
6.11,19.36786984,,,1.511,-0.162602868
6.12,19.35869729,,,1.512,-0.162801784
6.13,19.33639009,,,1.513,-0.16297963
6.14,19.30325345,,,1.514,-0.16313628
6.15,19.2630905,,,1.515,-0.163271765
6.16,19.2200316,,,1.516,-0.16338645
6.17,19.17809249,,,1.517,-0.16348125
6.18,19.1409527,,,1.518,-0.163557763
6.19,19.11150996,,,1.519,-0.163618068
6.2,19.09102767,,,1.52,-0.163664028
6.21,19.0787398,,,1.521,-0.163696408
6.22,19.07269714,,,1.522,-0.163714483
6.23,19.07137466,,,1.523,-0.163716493
6.24,19.07386276,,,1.524,-0.16370049
6.25,19.07967468,,,1.525,-0.163664951
6.26,19.08781721,,,1.526,-0.163608935
6.27,19.09694203,,,1.527,-0.163531988
6.28,19.10583295,,,1.528,-0.16343396
6.29,19.11384303,,,1.529,-0.163314864
6.3,19.12158108,,,1.53,-0.163174783
6.31,19.12972782,,,1.531,-0.163013828
6.32,19.13768541,,,1.532,-0.162832116
6.33,19.14413864,,,1.533,-0.162629775
6.34,19.14697413,,,1.534,-0.162406944
6.35,19.14540398,,,1.535,-0.162163797
6.36,19.13931454,,,1.536,-0.161900545
6.37,19.12872535,,,1.537,-0.161617439
6.38,19.11297183,,,1.538,-0.161314733
6.39,19.09044201,,,1.539,-0.160992586
6.4,19.05986863,,,1.54,-0.160650882
6.41,19.02242443,,,1.541,-0.160289005
6.42,18.98202926,,,1.542,-0.15990575
6.43,18.9435347,,,1.543,-0.159499576
6.44,18.91104248,,,1.544,-0.159069201
6.45,18.88742082,,,1.545,-0.158614108
6.46,18.87445313,,,1.546,-0.158134598
6.47,18.87291046,,,1.547,-0.15763144
6.48,18.88222155,,,1.548,-0.15710547
6.49,18.89999253,,,1.549,-0.156557359
6.5,18.92228399,,,1.55,-0.155987554
6.51,18.94497088,,,1.551,-0.155396284
6.52,18.96488657,,,1.552,-0.154783609
6.53,18.97981812,,,1.553,-0.154149441
6.54,18.98808649,,,1.554,-0.153493567
6.55,18.98851138,,,1.555,-0.152815654
6.56,18.98076784,,,1.556,-0.152115252
6.57,18.96575459,,,1.557,-0.15139181
6.58,18.94545846,,,1.558,-0.150644693
6.59,18.92197738,,,1.559,-0.149873246
6.6,18.89639295,,,1.56,-0.14907692
6.61,18.8688989,,,1.561,-0.148255497
6.62,18.84002946,,,1.562,-0.147409415
6.63,18.81135963,,,1.563,-0.146540082
6.64,18.78509527,,,1.564,-0.145649849
6.65,18.76315777,,,1.565,-0.144741282
6.66,18.74634724,,,1.566,-0.143815884
6.67,18.73398542,,,1.567,-0.142873161
6.68,18.72451755,,,1.568,-0.141910882
6.69,18.71709668,,,1.569,-0.14092619
